range_id,deviation_code,grades
"3-6","FG","{""3"":[8.5,6],""4"":[10,6],""5"":[11,6],""6"":[14,6],""7"":[18,6],""8"":[24,6],""9"":[36,6],""10"":[54,6]}"
"6-10","FG","{""3"":[10.5,8],""4"":[12,8],""5"":[14,8],""6"":[17,8],""7"":[23,8],""8"":[30,8],""9"":[44,8],""10"":[66,8]}"
"0-3","G","{""3"":[4,2],""4"":[5,2],""5"":[6,2],""6"":[8,2],""7"":[12,2],""8"":[16,2],""9"":[27,2],""10"":[42,2]}"
"3-6","G","{""3"":[6.5,4],""4"":[8,4],""5"":[9,4],""6"":[12,4],""7"":[16,4],""8"":[22,4],""9"":[34,4],""10"":[52,4]}"
"6-10","G","{""3"":[7.5,5],""4"":[9,5],""5"":[11,5],""6"":[14,5],""7"":[20,5],""8"":[27,5],""9"":[41,5],""10"":[63,5]}"
"10-18","G","{""3"":[9,6],""4"":[11,6],""5"":[14,6],""6"":[17,6],""7"":[24,6],""8"":[33,6],""9"":[49,6],""10"":[76,6]}"
"18-30","G","{""3"":[11,7],""4"":[13,7],""5"":[16,7],""6"":[20,7],""7"":[28,7],""8"":[40,7],""9"":[59,7],""10"":[91,7]}"
"30-50","G","{""3"":[13,9],""4"":[16,9],""5"":[20,9],""6"":[25,9],""7"":[34,9],""8"":[48,9],""9"":[71,9],""10"":[109,9]}"
"50-80","G","{""3"":[23,10],""4"":[29,10],""5"":[40,10],""6"":[56,10]}"
"80-120","G","{""3"":[27,12],""4"":[34,12],""5"":[47,12],""6"":[66,12]}"
"120-180","G","{""3"":[32,14],""4"":[39,14],""5"":[54,14],""6"":[77,14]}"
"180-250","G","{""3"":[35,15],""4"":[44,15],""5"":[61,15],""6"":[87,15]}"
"250-315","G","{""3"":[40,17],""4"":[49,17],""5"":[69,17],""6"":[98,17]}"
"315-400","G","{""3"":[43,18],""4"":[54,18],""5"":[75,18],""6"":[107,18]}"
"400-500","G","{""3"":[47,20],""4"":[60,20],""5"":[83,20],""6"":[117,20]}"
"500-630","G","{""3"":[66,22],""4"":[92,22],""5"":[132,22]}"
"630-800","G","{""3"":[74,24],""4"":[104,24],""5"":[149,24]}"
"800-1000","G","{""3"":[82,26],""4"":[116,26],""5"":[166,26]}"
"1000-1250","G","{""3"":[94,28],""4"":[133,28],""5"":[193,28]}"
"1250-1600","G","{""3"":[108,30],""4"":[155,30],""5"":[225,30]}"
"1600-2000","G","{""3"":[124,32],""4"":[182,32],""5"":[262,32]}"
"2000-2500","G","{""3"":[144,34],""4"":[209,34],""5"":[314,34]}"
"2500-3150","G","{""3"":[173,38],""4"":[248,38],""5"":[368,38]}"
"0-3","H","{""1"":[0.8,0],""2"":[1.2,0],""3"":[2,0],""4"":[3,0],""5"":[4,0],""6"":[6,0],""7"":[10,0],""8"":[14,0],""9"":[25,0],""10"":[40,0],""11"":[60,0],""12"":[0.1,0],""13"":[0.14,0],""14"":[0.25,0],""15"":[0.4,0],""16"":[0.6,0]}"
"3-6","H","{""1"":[1,0],""2"":[1.5,0],""3"":[2.5,0],""4"":[4,0],""5"":[5,0],""6"":[8,0],""7"":[12,0],""8"":[18,0],""9"":[30,0],""10"":[48,0],""11"":[75,0],""12"":[0.12,0],""13"":[0.18,0],""14"":[0.3,0],""15"":[0.48,0],""16"":[0.75,0],""17"":[1.2,0],""18"":[1.8,0]}"
"6-10","H","{""1"":[1,0],""2"":[1.5,0],""3"":[2.5,0],""4"":[4,0],""5"":[6,0],""6"":[9,0],""7"":[15,0],""8"":[22,0],""9"":[36,0],""10"":[58,0],""11"":[90,0],""12"":[0.15,0],""13"":[0.22,0],""14"":[0.36,0],""15"":[0.58,0],""16"":[0.9,0],""17"":[1.5,0],""18"":[2.2,0]}"
"10-18","H","{""1"":[1.2,0],""2"":[2,0],""3"":[3,0],""4"":[5,0],""5"":[8,0],""6"":[11,0],""7"":[18,0],""8"":[27,0],""9"":[43,0],""10"":[70,0],""11"":[110,0],""12"":[0.18,0],""13"":[0.27,0],""14"":[0.43,0],""15"":[0.7,0],""16"":[1.1,0],""17"":[1.8,0],""18"":[2.7,0]}"
